,Date,peciate,PapuIattice,BhenchodKing,Chea,Fujitora,LeopardPrint,Contage,rawfishyy,VerseVert,Reeja,Nooby,Seagully,Suho,RJaja,CodeBlocks,Vanilla1,OofyOuchyOwie,OofOuchyOwie,gotnu,SLEEPER66,Litterer,Hoyuni,owocodo,HoodVille,Wymorek,shigu,PyroSunder,Mercuryway,2huNeet,stackcreeps,GigaTaco5,duncy,MoneyDice,Lûmp,NightLaS,DivïneBlade,RamsaysKnife,DevilsShade,Chrisbtw,Rokiryu,AlienTrash,0xitTheBedge,2URGSE,Adelucian,Altaira,AmesSlayer,Balro,BatChest420,Bimch,BlazzDatAzz,Bokudo,BurntToastr,Cappa,Chrysalis,Comester,Curnate,Dakyum,DakyumAran,DakyumMM,Dasfoogle,DexTor,DookMalook,Draeline,DragonFlies,DualScret,DukyLeena,Eggybob,Eizri,Ellevaine,FE40536,FeBlut,FemboySplorp,Fham,FreeFetty,G1Grinder,GFlare,GunGlove,Guniru,H4NN,Hann7,Hiduko,Hovvurd,IDrinkBebsi,IluminateMe,ItWillCombo,Jacky5002,JoeBrrr,Juhuyn,Khoacky,Kitsh,Kkoma,Knumi,Kole,Kien,Lauvly,Lemyun,Lettuse,Lewp,Lsiv,Mafhvvhale,Martin,MaryMae,Medicia,Mercurywayne,MocturneLoL,Nami333,Oosani,Orthobene,Overground,Ozweegos,PendragolV,PurritoXP,Ratislayer,Raedyn,Reeju,Rijaa,SORB3T,Savagery,Seok,Shepaz,ShinJinWoo,ShinTokito,Shoutouts,Silvetal,SleepyRay,Smilesu,SnacccThlef,Snailpower26,Soradai,Spoffey,Stabbiness,TOEbot,TOMMI,TBad,Tell,Tetsuhiko,Torgal,Unbob,Undenk,Unmonk,Urasawa,UwUSellout3,Vincents25,Vincents3,Vivatic,Vìncents,WetLemons,Wolties,Wubsly,Wulpi,Wílkan,Yeems,Zauhn,Zector,ZeroDaddy69,Zuhr,Zwerk,baesoom,bloshing,chlowophyll,chaubastard,chegawd,domofriend1,eMillyRock,emidesuuu,emipoop,evecat,faunafriend1,fuwunyah,gayhoé,honeyteadrop,huzor,kknives,luvgirl,mcl6,mikkochü,milkclouds,müngbeantea,naicuwul,nyanpengie,onemintleaf,peciated,pengie,poopy6,ppeciate,redgifs,skAFallen,tqsm,uwuemi,wooziio,wubyu,wunner,xCreamy,xXSH4D0VVXx,Automemory,onefriedegg,Zàto
0,2024-02-25,35903,35266,29438,25281,22473,20921,20806,17430,17015,16837,16246,10913,10911,10730,10551,10236,10143,0,9680,8773,7575,7470,7333,6512,6033,5909,5665,4871,4130,4056,4049,2733,2113,1917,1760,1720,1699,1415,1394,1185,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7318,-1,-1
1,2024-03-03,36626,35917,30005,26175,22536,22207,0,17414,10458,18145,0,0,0,9412,9664,0,0,0,11078,13577,8197,7860,5625,8975,0,10640,5579,0,0,0,4412,0,2187,0,2745,3250,2894,1719,1446,0,404,0,0,0,0,750,0,6120,0,4164,0,698,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,20864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3033,0,0,0,0,0,0,0,0,13849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706,0,24848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3405,0,0,0,0,0,0,0,0,0,11187,7739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9872,0,0,7028,-1,-1
2,2024-03-10,34633,36499,30064,28494,0,20325,22669,22716,0,17760,5344,0,11612,13092,10343,0,0,0,0,8742,7808,7580,5585,7837,0,11806,5633,0,3877,3870,0,0,3310,2794,3039,0,3022,1867,1821,0,0,0,13914,0,0,746,0,0,0,0,0,737,0,1050,0,0,0,0,0,7316,0,0,0,0,0,0,20812,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12305,0,0,0,0,5862,0,0,0,0,0,0,0,0,13582,0,0,0,0,0,13082,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3519,0,7904,0,0,0,12201,7826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11948,0,7332,-1,-1
3,2024-03-17,34909,38291,30697,27400,0,0,0,20126,19076,18659,18299,11080,0,7681,10590,0,0,0,10859,11571,8608,11929,5443,7931,6440,14956,5725,0,4238,3985,0,0,2032,904,4050,0,3080,1421,1833,0,315,0,0,0,0,276,0,5270,0,3272,0,1715,0,0,0,0,0,0,0,8262,0,0,0,0,0,0,21038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6987,0,0,0,11100,0,0,0,0,13541,0,0,0,0,0,11058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7677,24480,-1
4,2024-03-24,43978,0,32831,28524,0,21343,21003,19961,0,17573,0,12289,0,11700,11122,0,0,0,12023,7611,11276,11211,5081,7093,6017,13330,5508,0,0,0,0,0,1457,904,4752,1795,3022,1421,2301,0,315,0,0,0,0,276,0,0,0,3757,0,0,0,0,0,0,0,0,0,9313,0,0,0,0,0,0,22314,0,0,0,0,0,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,0,0,0,27414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11427,0,0,0,6955,26294,-1
5,2024-03-31,40660,37597,32003,27124,0,18722,0,15356,0,22165,20128,11968,0,13087,11156,0,0,0,12260,11933,0,10634,4847,9645,7114,16617,5749,0,0,0,0,0,3986,904,0,0,3191,1421,2316,0,315,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,11708,0,0,0,0,0,0,22535,0,0,0,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14933,0,0,0,0,0,0,0,0,0,5884,0,0,0,0,633,0,0,0,13877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26013,0,0,25017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7172,26494,20525
6,2024-04-07,42761,40154,33514,28955,0,0,20021,20289,0,20200,0,13085,0,14724,12526,11476,0,0,10827,0,0,10717,5873,4400,0,9441,6459,0,4245,4027,0,0,1964,904,0,0,1864,1421,3762,0,315,0,15671,0,0,276,0,0,0,3983,0,0,0,1597,0,0,0,0,0,0,0,0,0,0,0,8477,0,0,0,0,0,0,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5370,0,0,0,9743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30249,0,0,29215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8897,0,0,0,0,8746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7353,18278,0
